Title,<bibl> Source ID,Publication date,Author,Title of Periodical,Name of Publisher,Volume (if applicable),Page(s),Place of publication,Entry proofed?,Image/page of scrapbook on which source appears,Link to source,Notes
With Whom We Trade,owu0036,1855-12-8,,LIfe Illustrated,,,,,error from Ebsco,owu_cah.00203,http://web.a.ebscohost.com.libproxy.unl.edu/ehost/archiveviewer/archive?vid=38&sid=eba9c500-8c6b-4a65-b0e6-85b737fa8d3d%40sessionmgr4006&bdata=JnNpdGU9ZWhvc3QtbGl2ZQ%3d%3d#kw=true&acc=false&lpId=divl58&ppId=divp6&twPV=null&xOff=0&yOff=0&zm=2&fs=null&rot=0&docMapOpen=true&pageMapOpen=true&AN=59955947&db=h9k,
Glimpses of Iowa,owu0036,1855-12-8,,LIfe Illustrated,,1,48-53,NY,yes,owu_cah.00470,http://search.ebscohost.com.libproxy.unl.edu/login.aspx?direct=true&db=h9k&AN=59955928&site=ehost-live,Same as With Whom we Trade
Literary Institutions,owu0066,1856-12-27,,Life Illustrated,,3,70-79,NY,yes,owu_cah.00512,http://search.ebscohost.com.libproxy.unl.edu/login.aspx?direct=true&db=h9k&AN=59967031&site=ehost-live,
The Victoria Bridge,owu0066,1856-12-27,,Life Illustrated,,duplicate of above,duplicate of above,duplicate of above,duplicate of above,owu_cah.00528-33,http://search.ebscohost.com.libproxy.unl.edu/login.aspx?direct=true&db=h9k&AN=59967031&site=ehost-live,Same as Literary Institutions
The Whole Amount of Salt inspected,owu0043,1857-01-31,,Life Illustrated,,,,New York,error from Ebsco,owu_cah.00269,http://web.a.ebscohost.com.libproxy.unl.edu/ehost/archiveviewer/archive?vid=100&sid=eba9c500-8c6b-4a65-b0e6-85b737fa8d3d%40sessionmgr4006&bdata=JnNpdGU9ZWhvc3QtbGl2ZQ%3d%3d#kw=true&acc=false&lpId=divl35&ppId=divp6&twPV=null&xOff=0&yOff=1278&zm=3&fs=null&rot=0&docMapOpen=true&pageMapOpen=true&AN=59986928&db=h9k,
Travels in South Africa,owu0043,1857-01-31,,Life Illustrated,,3,105-109,New York,yes,owu_cah.00269,http://search.ebscohost.com.libproxy.unl.edu/login.aspx?direct=true&db=h9k&AN=59986912&site=ehost-live,"Same as ""The Whole Amount of Salt Inspected"""
Temperature of the Earth,owu0018,1857-03-14,,Life Illustrated,,,,New York,error from Ebsco,owu_cah.00077,http://web.a.ebscohost.com.libproxy.unl.edu/ehost/archiveviewer/archive?vid=85&sid=8e2c0a5d-982f-4a47-b908-ed860ebf17d9%40sdc-v-sessmgr04&bdata=JnNpdGU9ZWhvc3QtbGl2ZQ%3d%3d#kw=true&acc=false&lpId=divl43&ppId=divp6&twPV=null&xOff=0&yOff=246&zm=2&fs=null&rot=0&docMapOpen=true&pageMapOpen=true&AN=60028578&db=h9k,
Bridge at St. Louis,owu0018,1857-03-14,,Life Illustrated,,,,New York,*referred to as 'Items' in Ebsco,owu_cah.00431,http://search.ebscohost.com.libproxy.unl.edu/login.aspx?direct=true&db=h9k&AN=60028561&site=ehost-live,Same as Temperature of the Earth
The State of New York contains,owu0041,1857-12-26,,LIfe Illustrated,,,,New York,error from Ebsco,owu_cah.00262,http://web.a.ebscohost.com.libproxy.unl.edu/ehost/archiveviewer/archive?vid=93&sid=eba9c500-8c6b-4a65-b0e6-85b737fa8d3d%40sessionmgr4006&bdata=JnNpdGU9ZWhvc3QtbGl2ZQ%3d%3d#kw=true&acc=false&lpId=divl36&ppId=divp6&twPV=null&xOff=0&yOff=1494&zm=3&fs=null&rot=0&docMapOpen=true&pageMapOpen=true&AN=60416934&db=h9k,
The Fincastle Valley Whig,owu0041,1857-12-26,,LIfe Illustrated,,,,New York,error in ebsco,owu_cah.00262,http://web.a.ebscohost.com.libproxy.unl.edu/ehost/archiveviewer/archive?vid=109&sid=eba9c500-8c6b-4a65-b0e6-85b737fa8d3d%40sessionmgr4006&bdata=JnNpdGU9ZWhvc3QtbGl2ZQ%3d%3d#kw=true&acc=false&lpId=divl47&ppId=divp8&twPV=null&xOff=0&yOff=411&zm=2&fs=null&rot=0&docMapOpen=true&pageMapOpen=true&AN=60416930&db=h9k,Same as State of New York
Crops of 1856,owu0041,1857-12-26,,LIfe Illustrated,,5,70-74,New York,yes (image resolution needs review),owu_cah.00513,http://search.ebscohost.com.libproxy.unl.edu/login.aspx?direct=true&db=h9k&AN=60416934&site=ehost-live,Same as State of New York
U. S. Army - The total authorized strength,owu0041,1857-12-26,,LIfe Illustrated,,5,,New York,yes,owu_cah.00518,http://search.ebscohost.com.libproxy.unl.edu/login.aspx?direct=true&db=h9k&AN=60416934&site=ehost-live,Same as State of New York
"Memoria technica: or, The art of abbreviating …, also rules for memorizing …",owu0001,1847,"Dow Johnson, Lorenzo",,"Gould, Kendall, and Lincoln",,,London,yes,multiple (add later) whitman_scrapbook_003.tif; 4; 9-10; 26-30,https://books.google.com/books?id=N1cJAQAAMAAJ&dq=memoria%20technica%20discoveries%20and%20improvements&pg=PA45#v=onepage&q=memoria%20technica%20discoveries%20and%20improvements&f=false,
"""Peru"" The U.S. Democratic Review, volume 21",owu1002,1847,,The United States Magazine and Democratic Review,,21,129-140,New York,yes,whitman_scrapbook_272-278.tif (disc 3),https://books.google.com/books?id=6RI0AQAAMAAJ&pg=PA129&dq=the+solitary+monuments+of+their+industry+occasionally+astonish+the+traveller&hl=en&sa=X&ved=0ahUKEwieluyH1dLYAhVBxoMKHSidC5cQ6AEIKTAA#v=onepage&q=the%20solitary%20monuments%20of%20their%20industry%20occasionally%20astonish%20the%20traveller&f=false,
"Travels in Peru, During the Years 1838-1842 ...",owu1003,1847,Dr. J. J. von Tschudi,, David Bogue,,,London,yes,whitman_scrapbook_278-290.tif,https://books.google.com/books?id=DrECAAAAYAAJ&pg=PA290&dq=the+other+chain+takes+a+parallel+direction+but+describes+throughout&hl=en&sa=X&ved=0ahUKEwiq2qaT19LYAhVrxYMKHe3jDMAQ6AEIKTAA#v=onepage&q=the%20other%20chain%20takes%20a%20parallel%20direction%20but%20describes%20throughout&f=false,
"Results of Astronomical Observations made during the years 1834,5,6,7,8, at the Cape of Good Hope, being the completion of a Telescopic Survey of the whole surface of the visible Heavens, commenced in 1825",owu0032,1848,Sir John Herschel,The North British Review,,"8, 9",263-286,"Edinburgh, Scotland",yes,owu_cah.00132-138 and missing pages,https://books.google.com/books?id=drQRAAAAYAAJ&pg=PA279&dq=Sir+John+Herschel%27s+Astronomical+Observations+1848&hl=en&sa=X&ved=0ahUKEwjn8MT0nsLaAhVFQq0KHUUQAjIQ6AEILzAB#v=onepage&q=Sir%20John%20Herschel's%20Astronomical%20Observations%201848&f=false,"American Edition, Volume III, Leonard Scott & Co."
The Physical Atlas. [Book Review],owu0013,1849,Alex Keith Johnson,"Edinburgh Review, Or Critical Journal Volume LXXXIX published by Leonard Scott & Co.,",,89,169-181,"Edinburgh, Scotland",yes,Missing page as well as whitman_scrapbook_022-26.tif,https://books.google.com/books?id=Sy07AQAAMAAJ&pg=RA1-PA1&dq=the+edinburg+review+1849&hl=en&sa=X&ved=0ahUKEwiH5cOcju_YAhXMGZQKHc2kCigQ6AEILjAB#v=onepage&q=physical%20atlas&f=false,
Taylor's Eve of the Conquest [Review],,1849,Alex Keith Johnson,"Edinburgh Review, Or Critical Journal Volume LXXXIX published by Leonard Scott & Co.,",,89,,"Edinburgh, Scotland",yes,whitman_scrapbook_26.tif (Verso of The Physical Atlas Review),https://books.google.com/books?id=Sy07AQAAMAAJ&pg=RA1-PA1&dq=the+edinburg+review+1849&hl=en&sa=X&ved=0ahUKEwiH5cOcju_YAhXMGZQKHc2kCigQ6AEILjAB#v=onepage&q=physical%20atlas&f=false,
"Littell's Living Age, volume XXII",owu2001,1849,"""conducted"" by E. Littell",E. Littell & Company,,22,,,yes,"I found it on whitman_scrapbook_523.tif (disc five) but I checked disc 4 and it appears there at 520 (and I wonder if earlier, too) #cb",https://books.google.com/books?id=ipo2AQAAMAAJ&pg=PA162&lpg=PA162&dq=ode+upon+content+an+unpublished+poem&source=bl&ots=fQdZzbDlAk&sig=-viJ1UxCpC4gggXLXxMDYb_SeMU&hl=en&sa=X&ved=0ahUKEwi3sfenwYXZAhULC6wKHY38BjIQ6AEIKTAA#v=onepage&q=ode%20upon%20content%20an%20unpublished%20poem&f=false,the particular page I am looking at for my chunk contains two poems from Anglo-Saxon
Layard's Nineveh and its Remains,owu0033,1849,,The North British Review,,"11, 12",,"Edinburgh, Scotland",yes,whitman_scrapbook_060-73 (Pages 72 & 73 are an article of a different title but the same source),https://books.google.com/books?id=VfEaAAAAYAAJ&pg=PA111&dq=1849+Review+Nineveh+and+its+remains&hl=en&sa=X&ved=0ahUKEwjqu4CIpMLaAhUBOawKHaLvAKQQ6AEIaTAL#v=onepage&q=1849%20Review%20Nineveh%20and%20its%20remains&f=false,"American Edition, Leonard Scott & Co."
